product_id,product_name,category,is_subscription,billing_cycle,base_price_usd,first_release_date,vendor,resale_model,brand_safe_name,product_name_orig,base_price_usd_orig,base_key,product_version
PROD0021,Notion Plus Monthly,Productivity,TRUE,Monthly,10.0,2/1/2024,Notion,Marketplace,Workspace Suite Plus Monthly,Notion Plus Monthly,10.0,notion plus,v4.0
PROD0022,Notion Plus Annual,Productivity,TRUE,Annual,96.0,2/1/2024,Notion,Marketplace,Workspace Suite Plus Annual,Notion Plus Annual,96.0,notion plus,v4.0
PROD0023,Jira Software Standard Monthly,Project Management,TRUE,Monthly,8.0,2/1/2024,Atlassian,Direct resale,Project Tracker Software Standard Monthly,Jira Software Standard Monthly,8.0,jira software standard,v4.0
PROD0024,Jira Software Standard Annual,Project Management,TRUE,Annual,84.0,2/1/2024,Atlassian,Direct resale,Project Tracker Software Standard Annual,Jira Software Standard Annual,84.0,jira software standard,v4.0
PROD0025,JetBrains All Products Pack Monthly,Developer Tools,TRUE,Monthly,29.0,2/1/2024,JetBrains,Direct resale,Code Studio All Products Pack Monthly,JetBrains All Products Pack Monthly,29.0,jetbrains all products pack,v4.0
PROD0026,JetBrains All Products Pack Annual,Developer Tools,TRUE,Annual,289.0,2/1/2024,JetBrains,Direct resale,Code Studio All Products Pack Annual,JetBrains All Products Pack Annual,289.0,jetbrains all products pack,v4.0
PROD0027,Zoom Whiteboard Add‑on Monthly,Add-on,TRUE,Monthly,7.0,2/1/2024,Zoom,Direct resale,Video Meeting Pro Whiteboard Add‑on Monthly,Zoom Whiteboard Add‑on Monthly,7.0,zoom whiteboard add‑on,v4.0
PROD0028,Zoom Whiteboard Add‑on Annual,Add-on,TRUE,Annual,70.0,2/1/2024,Zoom,Direct resale,Video Meeting Pro Whiteboard Add‑on Annual,Zoom Whiteboard Add‑on Annual,70.0,zoom whiteboard add‑on,v4.0
PROD0029,Slack Huddles Add‑on Monthly,Add-on,TRUE,Monthly,5.0,2/1/2024,Slack,Direct resale,Team Chat Pro Huddles Add‑on Monthly,Slack Huddles Add‑on Monthly,5.0,slack huddles add‑on,v4.0
PROD0030,Slack Huddles Add‑on Annual,Add-on,TRUE,Annual,50.0,2/1/2024,Slack,Direct resale,Team Chat Pro Huddles Add‑on Annual,Slack Huddles Add‑on Annual,50.0,slack huddles add‑on,v4.0
PROD0031,Advanced Reports Add‑on Monthly,Add-on,TRUE,Monthly,12.0,2/1/2024,Other,Affiliate,Advanced Reports Add‑on Monthly,Advanced Reports Add‑on Monthly,12.0,advanced reports add‑on,v4.0
PROD0032,Advanced Reports Add‑on Annual,Add-on,TRUE,Annual,120.0,2/1/2024,Other,Affiliate,Advanced Reports Add‑on Annual,Advanced Reports Add‑on Annual,120.0,advanced reports add‑on,v4.0
PROD0033,AI Assistant Add‑on Monthly,Add-on,TRUE,Monthly,9.0,2/1/2024,AI Tools,Marketplace,AI Assistant Add‑on Monthly,AI Assistant Add‑on Monthly,9.0,ai assistant add‑on,v4.0
PROD0034,AI Assistant Add‑on Annual,Add-on,TRUE,Annual,90.0,2/1/2024,AI Tools,Marketplace,AI Assistant Add‑on Annual,AI Assistant Add‑on Annual,90.0,ai assistant add‑on,v4.0
PROD0035,Miro Business Monthly,Collaboration,TRUE,Monthly,16.0,2/1/2024,Other,Affiliate,Miro Business Monthly,Miro Business Monthly,16.0,miro business,v4.0
PROD0036,Miro Business Annual,Collaboration,TRUE,Annual,160.0,2/1/2024,Other,Affiliate,Miro Business Annual,Miro Business Annual,160.0,miro business,v4.0
PROD0037,Asana Premium Monthly,Project Management,TRUE,Monthly,12.5,2/1/2024,Atlassian,Direct resale,Asana Premium Monthly,Asana Premium Monthly,12.5,asana premium,v4.0
PROD0038,Asana Premium Annual,Project Management,TRUE,Annual,125.0,2/1/2024,Atlassian,Direct resale,Asana Premium Annual,Asana Premium Annual,125.0,asana premium,v4.0
PROD0039,Tableau Creator Monthly,Analytics,TRUE,Monthly,25.0,2/1/2024,Tableau,Marketplace,Viz Pro Creator Monthly,Tableau Creator Monthly,25.0,tableau creator,v4.0
PROD0040,Tableau Creator Annual,Analytics,TRUE,Annual,250.0,2/1/2024,Tableau,Marketplace,Viz Pro Creator Annual,Tableau Creator Annual,250.0,tableau creator,v4.0
PROD0041,Canva Pro Monthly,Design,TRUE,Monthly,12.0,2/1/2024,Canva,Marketplace,Design Pro Pro Monthly,Canva Pro Monthly,12.0,canva pro,v4.0
PROD0042,Canva Pro Annual,Design,TRUE,Annual,120.0,2/1/2024,Canva,Marketplace,Design Pro Pro Annual,Canva Pro Annual,120.0,canva pro,v4.0
PROD0043,Dropbox Standard Monthly,File Storage,TRUE,Monthly,10.0,2/1/2024,Dropbox,Direct resale,File Cloud Standard Monthly,Dropbox Standard Monthly,10.0,dropbox standard,v4.0
PROD0044,Dropbox Standard Annual,File Storage,TRUE,Annual,100.0,2/1/2024,Dropbox,Direct resale,File Cloud Standard Annual,Dropbox Standard Annual,100.0,dropbox standard,v4.0
PROD0045,Monday.com Standard Monthly,Project Management,TRUE,Monthly,15.0,2/1/2024,Atlassian,Direct resale,Monday.com Standard Monthly,Monday.com Standard Monthly,15.0,monday.com standard,v4.0
PROD0046,Monday.com Standard Annual,Project Management,TRUE,Annual,150.0,2/1/2024,Atlassian,Direct resale,Monday.com Standard Annual,Monday.com Standard Annual,150.0,monday.com standard,v4.0
PROD0047,Freshdesk Growth Monthly,Support,TRUE,Monthly,9.0,2/1/2024,Zendesk,Direct resale,Support Desk Growth Monthly,Freshdesk Growth Monthly,9.0,freshdesk growth,v4.0
PROD0048,Freshdesk Growth Annual,Support,TRUE,Annual,90.0,2/1/2024,Zendesk,Direct resale,Support Desk Growth Annual,Freshdesk Growth Annual,90.0,freshdesk growth,v4.0
PROD0049,Zendesk Suite Team Monthly,Support,TRUE,Monthly,13.0,2/1/2024,Zendesk,Direct resale,Support Hub Suite Team Monthly,Zendesk Suite Team Monthly,13.0,zendesk suite team,v4.0
PROD0050,Zendesk Suite Team Annual,Support,TRUE,Annual,130.0,2/1/2024,Zendesk,Direct resale,Support Hub Suite Team Annual,Zendesk Suite Team Annual,130.0,zendesk suite team,v4.0
PROD0051,Airtable Team Monthly,Productivity,TRUE,Monthly,20.0,2/1/2024,AI Tools,Marketplace,Airtable Team Monthly,Airtable Team Monthly,20.0,airtable team,v4.0
PROD0052,Airtable Team Annual,Productivity,TRUE,Annual,200.0,2/1/2024,AI Tools,Marketplace,Airtable Team Annual,Airtable Team Annual,200.0,airtable team,v4.0
PROD0053,Datadog Pro Monthly,Monitoring,TRUE,Monthly,29.0,2/1/2024,Datadog,Direct resale,Monitor Pro Pro Monthly,Datadog Pro Monthly,29.0,datadog pro,v4.0
PROD0054,Datadog Pro Annual,Monitoring,TRUE,Annual,290.0,2/1/2024,Datadog,Direct resale,Monitor Pro Pro Annual,Datadog Pro Annual,290.0,datadog pro,v4.0
PROD0055,Cloud Storage 1TB Monthly,Infrastructure,TRUE,Monthly,6.0,2/1/2024,Other,Affiliate,Cloud Storage 1TB Monthly,Cloud Storage 1TB Monthly,6.0,cloud storage 1tb,v4.0
PROD0056,Cloud Storage 1TB Annual,Infrastructure,TRUE,Annual,60.0,2/1/2024,Other,Affiliate,Cloud Storage 1TB Annual,Cloud Storage 1TB Annual,60.0,cloud storage 1tb,v4.0
PROD0057,Endpoint Security Monthly,Security,TRUE,Monthly,5.0,2/1/2024,Security,Affiliate,Endpoint Security Monthly,Endpoint Security Monthly,5.0,endpoint security,v4.0
PROD0058,Endpoint Security Annual,Security,TRUE,Annual,50.0,2/1/2024,Security,Affiliate,Endpoint Security Annual,Endpoint Security Annual,50.0,endpoint security,v4.0
PROD0059,Azure AI Studio Monthly,Developer Tools,TRUE,Monthly,29.0,3/1/2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Monthly,Azure AI Studio Monthly,29.0,azure ai studio,v4.0
PROD0060,Microsoft Copilot for Office Annual,AI Productivity,TRUE,Annual,225.15,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual,Microsoft Copilot for Office Annual,190.0,microsoft copilot for office,v4.0
PROD0061,Notion AI Monthly,Productivity,TRUE,Monthly,10.0,3/1/2024,Notion,Marketplace,Workspace Suite AI Monthly,Notion AI Monthly,10.0,notion ai,v4.0
PROD0062,Microsoft Copilot for Office Annual Standard,AI Productivity,TRUE,Annual,225.15,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual Standard,Microsoft Copilot for Office Annual,190.0,microsoft copilot for office,v4.0
PROD0063,Notion AI Monthly Standard,Productivity,TRUE,Monthly,9.88,3/1/2024,Notion,Marketplace,Workspace Suite AI Monthly Standard,Notion AI Monthly,10.0,notion ai,v4.0
PROD0064,Power BI Pro Annual,Analytics,TRUE,Annual,153.78,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Annual,Power BI Pro Annual,130.0,power bi pro,v4.0
PROD0065,Microsoft Copilot for Office Monthly,AI Productivity,TRUE,Monthly,19.0,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly,Microsoft Copilot for Office Monthly,19.0,microsoft copilot for office,v4.0
PROD0066,Power BI Pro Annual Standard,Analytics,TRUE,Annual,153.78,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Annual Standard,Power BI Pro Annual,130.0,power bi pro,v4.0
PROD0067,Microsoft Copilot for Office Monthly Standard,AI Productivity,TRUE,Monthly,18.92,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly Standard,Microsoft Copilot for Office Monthly,19.0,microsoft copilot for office,v4.0
PROD0068,Adobe Firefly Creative AI Annual,Design,TRUE,Annual,234.95,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual,Adobe Firefly Creative AI Annual,200.0,adobe firefly creative ai,v4.0
PROD0069,Power BI Pro Monthly,Analytics,TRUE,Monthly,13.0,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Monthly,Power BI Pro Monthly,13.0,power bi pro,v4.0
PROD0070,Adobe Firefly Creative AI Annual Standard,Design,TRUE,Annual,234.95,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual Standard,Adobe Firefly Creative AI Annual,200.0,adobe firefly creative ai,v4.0
PROD0071,Power BI Pro Monthly Standard,Analytics,TRUE,Monthly,13.07,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Monthly Standard,Power BI Pro Monthly,13.0,power bi pro,v4.0
PROD0072,ChatGPT Team Annual,AI Tools,TRUE,Annual,267.4,3/1/2024,AI Tools,Marketplace,AI Assistant Team Annual,ChatGPT Team Annual,250.0,chatgpt team,v4.0
PROD0073,Adobe Firefly Creative AI Monthly,Design,TRUE,Monthly,20.0,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly,Adobe Firefly Creative AI Monthly,20.0,adobe firefly creative ai,v4.0
PROD0074,ChatGPT Team Annual Standard,AI Tools,TRUE,Annual,267.4,3/1/2024,AI Tools,Marketplace,AI Assistant Team Annual Standard,ChatGPT Team Annual,250.0,chatgpt team,v4.0
PROD0075,Adobe Firefly Creative AI Monthly Standard,Design,TRUE,Monthly,20.12,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly Standard,Adobe Firefly Creative AI Monthly,20.0,adobe firefly creative ai,v4.0
PROD0076,Azure AI Studio Annual,Developer Tools,TRUE,Annual,316.27,3/1/2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Annual,Azure AI Studio Annual,290.0,azure ai studio,v4.0
PROD0077,ChatGPT Team Monthly,AI Tools,TRUE,Monthly,25.0,3/1/2024,AI Tools,Marketplace,AI Assistant Team Monthly,ChatGPT Team Monthly,25.0,chatgpt team,v4.0
PROD0078,Azure AI Studio Annual Standard,Developer Tools,TRUE,Annual,316.27,3/1/2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Annual Standard,Azure AI Studio Annual,290.0,azure ai studio,v4.0
PROD0079,ChatGPT Team Monthly Standard,AI Tools,TRUE,Monthly,24.57,3/1/2024,AI Tools,Marketplace,AI Assistant Team Monthly Standard,ChatGPT Team Monthly,25.0,chatgpt team,v4.0
PROD0080,Notion AI Annual,Productivity,TRUE,Annual,118.1,3/1/2024,Notion,Marketplace,Workspace Suite AI Annual,Notion AI Annual,100.0,notion ai,v4.0
PROD0081,Azure AI Studio Monthly Standard,Developer Tools,TRUE,Monthly,29.18,3/1/2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Monthly Standard,Azure AI Studio Monthly,29.0,azure ai studio,v4.0
PROD0082,Notion AI Annual Standard,Productivity,TRUE,Annual,118.1,3/1/2024,Notion,Marketplace,Workspace Suite AI Annual Standard,Notion AI Annual,100.0,notion ai,v4.0
PROD0083,Azure AI Studio Monthly Pro,Developer Tools,TRUE,Monthly,36.7,3/1/2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Monthly Pro,Azure AI Studio Monthly,29.0,azure ai studio,v4.0
PROD0084,Microsoft Copilot for Office Annual Pro,AI Productivity,TRUE,Annual,225.15,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual Pro,Microsoft Copilot for Office Annual,190.0,microsoft copilot for office,v4.0
PROD0085,Notion AI Monthly Pro,Productivity,TRUE,Monthly,12.4,3/1/2024,Notion,Marketplace,Workspace Suite AI Monthly Pro,Notion AI Monthly,10.0,notion ai,v4.0
PROD0086,Microsoft Copilot for Office Annual Business,AI Productivity,TRUE,Annual,225.15,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Annual Business,Microsoft Copilot for Office Annual,190.0,microsoft copilot for office,v4.0
PROD0087,Notion AI Monthly Business,Productivity,TRUE,Monthly,14.96,3/1/2024,Notion,Marketplace,Workspace Suite AI Monthly Business,Notion AI Monthly,10.0,notion ai,v4.0
PROD0088,Power BI Pro Annual Pro,Analytics,TRUE,Annual,153.78,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Annual Pro,Power BI Pro Annual,130.0,power bi pro,v4.0
PROD0089,Microsoft Copilot for Office Monthly Pro,AI Productivity,TRUE,Monthly,23.45,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly Pro,Microsoft Copilot for Office Monthly,19.0,microsoft copilot for office,v4.0
PROD0090,Power BI Pro Annual Business,Analytics,TRUE,Annual,153.78,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Annual Business,Power BI Pro Annual,130.0,power bi pro,v4.0
PROD0091,Microsoft Copilot for Office Monthly Business,AI Productivity,TRUE,Monthly,28.69,3/1/2024,Microsoft,Direct resale,Office Suite AI Helper for Office Monthly Business,Microsoft Copilot for Office Monthly,19.0,microsoft copilot for office,v4.0
PROD0092,Adobe Firefly Creative AI Annual Pro,Design,TRUE,Annual,234.95,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual Pro,Adobe Firefly Creative AI Annual,200.0,adobe firefly creative ai,v4.0
PROD0093,Power BI Pro Monthly Pro,Analytics,TRUE,Monthly,15.81,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Monthly Pro,Power BI Pro Monthly,13.0,power bi pro,v4.0
PROD0094,Adobe Firefly Creative AI Annual Business,Design,TRUE,Annual,234.95,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Annual Business,Adobe Firefly Creative AI Annual,200.0,adobe firefly creative ai,v4.0
PROD0095,Power BI Pro Monthly Business,Analytics,TRUE,Monthly,19.63,3/1/2024,Microsoft,Direct resale,Analytics Pro Pro Monthly Business,Power BI Pro Monthly,13.0,power bi pro,v4.0
PROD0096,ChatGPT Team Annual Pro,AI Tools,TRUE,Annual,267.4,3/1/2024,AI Tools,Marketplace,AI Assistant Team Annual Pro,ChatGPT Team Annual,250.0,chatgpt team,v4.0
PROD0097,Adobe Firefly Creative AI Monthly Pro,Design,TRUE,Monthly,24.48,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly Pro,Adobe Firefly Creative AI Monthly,20.0,adobe firefly creative ai,v4.0
PROD0098,ChatGPT Team Annual Business,AI Tools,TRUE,Annual,267.4,3/1/2024,AI Tools,Marketplace,AI Assistant Team Annual Business,ChatGPT Team Annual,250.0,chatgpt team,v4.0
PROD0099,Adobe Firefly Creative AI Monthly Business,Design,TRUE,Monthly,29.38,3/1/2024,Adobe,Direct resale,Creative Suite Firefly Creative AI Monthly Business,Adobe Firefly Creative AI Monthly,20.0,adobe firefly creative ai,v4.0
PROD0100,Azure AI Studio Annual Pro,Developer Tools,TRUE,Annual,316.27,3/1/2024,Microsoft,Direct resale,Cloud AI Studio AI Studio Annual Pro,Azure AI Studio Annual,290.0,azure ai studio,v4.0
PROD0101,ChatGPT Team Monthly Pro,AI Tools,TRUE,Monthly,30.65,3/1/2024,AI Tools,Marketplace,AI Assistant Team Monthly Pro,ChatGPT Team Monthly,25.0,chatgpt team,v4.0
